8	8	9
9	9	8
10	10	11
11	11	10
17	10	18
18	11	17
35	20	36
36	21	35
37	10	38
38	11	37
46	24	49
49	25	46
46	26	49
49	27	46
51	10	52
52	11	51
55	2	56
56	3	55
61	32	62
62	33	61
67	8	68
68	9	67
72	10	73
73	11	72
77	8	69
69	9	77
77	16	78
78	17	77
84	10	85
85	11	84
86	10	87
87	11	86
91	22	92
92	23	91
94	36	95
95	37	94
101	10	102
102	11	101
103	38	104
104	39	103
103	38	105
105	39	103
108	40	109
109	41	108
112	14	3
3	15	112
112	34	66
66	35	112
115	10	116
116	11	115
117	10	118
118	11	117
121	44	122
122	45	121
123	28	124
124	29	123
123	28	125
125	29	123
123	28	126
126	29	123
123	0	125
125	1	123
123	0	124
124	1	123
134	14	135
135	15	134
142	48	143
143	49	142
142	50	143
143	51	142
144	10	145
145	11	144
155	10	156
156	11	155
159	8	68
68	9	159
159	8	9
9	9	159
159	8	161
161	9	159
163	52	164
164	53	163
163	6	165
165	7	163
166	54	167
167	55	166
170	10	171
171	11	170
175	50	176
176	51	175
179	26	180
180	27	179
179	38	180
180	39	179
185	2	3
3	3	185
186	60	188
188	61	186
186	60	189
189	61	186
186	62	189
189	63	186
191	2	192
192	3	191
191	6	192
192	7	191
200	6	29
29	7	200
201	2	202
202	3	201
201	6	202
202	7	201
205	42	111
111	43	205
221	10	222
222	11	221
223	4	224
224	5	223
228	14	229
229	15	228
230	44	231
231	45	230
233	8	9
9	9	233
235	10	156
156	11	235
238	10	239
239	11	238
242	14	243
243	15	242
246	44	247
247	45	246
259	8	9
9	9	259
265	26	266
266	27	265
265	38	266
266	39	265
265	36	95
95	37	265
273	6	7
7	7	273
281	14	3
3	15	281
281	42	282
282	43	281
283	10	284
284	11	283
289	8	161
161	9	289
290	10	291
291	11	290
300	8	301
301	9	300
300	8	68
68	9	300
300	8	9
9	9	300
300	8	161
161	9	300
307	10	308
308	11	307
309	10	310
310	11	309
313	8	161
161	9	313
314	22	315
315	23	314
316	84	317
317	85	316
322	60	188
188	61	322
329	2	135
135	3	329
336	36	95
95	37	336
346	8	68
68	9	346
346	8	9
9	9	346
346	8	161
161	9	346
346	8	351
351	9	346
346	8	354
354	9	346
346	8	356
356	9	346
357	36	368
368	37	357
357	36	374
374	37	357
357	36	375
375	37	357
357	36	378
378	37	357
386	52	1
1	53	386
386	22	1
1	23	386
386	50	387
387	51	386
394	64	190
190	65	394
397	24	47
47	25	397
397	24	398
398	25	397
397	24	399
399	25	397
397	24	49
49	25	397
406	10	407
407	11	406
408	2	409
409	3	408
410	10	411
411	11	410
412	14	3
3	15	412
412	6	162
162	7	412
418	4	337
337	5	418
423	10	424
424	11	423
427	8	161
161	9	427
431	20	432
432	21	431
433	28	434
434	29	433
433	0	434
434	1	433
435	100	436
436	101	435
438	8	9
9	9	438
438	8	89
89	9	438
438	8	64
64	9	438
438	2	3
3	3	438
438	6	162
162	7	438
439	8	68
68	9	439
440	36	95
95	37	440
441	10	442
442	11	441
447	4	224
224	5	447
447	36	95
95	37	447
447	36	96
96	37	447
451	8	9
9	9	451
453	104	456
456	105	453
453	104	459
459	105	453
453	104	460
460	105	453
453	26	461
461	27	453
453	36	95
95	37	453
453	108	469
469	109	453
476	26	477
477	27	476
476	26	478
478	27	476
476	6	479
479	7	476
484	36	95
95	37	484
486	4	224
224	5	486
488	54	489
489	55	488
493	8	161
161	9	493
498	10	499
499	11	498
505	8	506
506	9	505
508	110	510
510	111	508
516	6	162
162	7	516
517	58	518
518	59	517
519	8	68
68	9	519
519	8	9
9	9	519
519	8	161
161	9	519
519	8	354
354	9	519
523	8	160
160	9	523
523	8	302
302	9	523
523	8	9
9	9	523
523	8	81
81	9	523
523	8	64
64	9	523
523	8	69
69	9	523
523	8	524
524	9	523
523	2	3
3	3	523
525	32	527
527	33	525
525	74	527
527	75	525
530	10	531
531	11	530
534	0	535
535	1	534
536	74	537
537	75	536
539	10	540
540	11	539
541	44	542
542	45	541
545	8	9
9	9	545
545	8	22
22	9	545
545	8	81
81	9	545
545	8	69
69	9	545
545	8	80
80	9	545
545	8	64
64	9	545
545	34	66
66	35	545
545	42	546
546	43	545
545	42	547
547	43	545
545	42	111
111	43	545
545	42	282
282	43	545
545	2	3
3	3	545
548	10	549
549	11	548
556	26	557
557	27	556
556	38	557
557	39	556
558	22	559
559	23	558
560	62	188
188	63	560
560	6	332
332	7	560
561	94	562
562	95	561
569	20	571
571	21	569
569	116	573
573	117	569
569	116	583
583	117	569
569	14	586
586	15	569
569	74	586
586	75	569
588	98	589
589	99	588
588	44	590
590	45	588
588	44	589
589	45	588
599	8	9
9	9	599
599	8	161
161	9	599
600	8	161
161	9	600
600	8	69
69	9	600
600	8	64
64	9	600
600	14	3
3	15	600
600	2	601
601	3	600
602	76	603
603	77	602
617	2	618
618	3	617
621	44	623
623	45	621
631	66	632
632	67	631
633	10	634
634	11	633
635	10	73
73	11	635
636	10	637
637	11	636
638	86	444
444	87	638
653	8	69
69	9	653
653	8	64
64	9	653
658	10	659
659	11	658
662	22	663
663	23	662
665	10	666
666	11	665
667	10	668
668	11	667
669	22	670
670	23	669
669	14	671
671	15	669
669	2	3
3	3	669
669	2	672
672	3	669
669	6	670
670	7	669
673	66	674
674	67	673
677	14	678
678	15	677
680	10	681
681	11	680
686	58	687
687	59	686
689	98	690
690	99	689
689	2	202
202	3	689
689	6	202
202	7	689
691	12	692
692	13	691
691	12	693
693	13	691
691	12	694
694	13	691
691	12	695
695	13	691
691	12	13
13	13	691
691	12	696
696	13	691
691	12	697
697	13	691
691	12	698
698	13	691
691	12	699
699	13	691
691	12	700
700	13	691
691	12	701
701	13	691
691	12	702
702	13	691
691	12	703
703	13	691
691	12	704
704	13	691
691	12	705
